Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Glossophaga longirostris,13.5,1.13,26.37,1.42,,,-70.14,10,,,,
Glossophaga soricina,9.6,0.98,21.39,1.33,,,-62.29,62,,,,
Golunda ellioti,56.2,1.75,60.7,1.78,,,73.02,217,,,,
Graomys griseoflavus,69.4,1.84,83.97,1.92,,,-66.35,639,,,,
Graphiurus murinus,38.43,1.58,40.39,1.61,,,26.5,589,,,,
Graphiurus ocularis,67.8,1.83,66.44,1.82,,,19.3,809,,,,
Gymnobelideus leadbeateri,166,2.22,102.92,2.01,,,145.82,287,,,,
Heliophobius argenteocinereus,223,2.35,154.04,2.19,,,35.5,613,,,,
Heterocephalus glaber,39.2,1.59,25.87,1.41,,,36.5,1607,,,,
Heterohyrax brucei,2000,3.3,719.4,2.86,,,36.49,1481,,,,
Heteromys anomalus,69.3,1.84,100.49,2,,,-67.65,550,,,,
Heteromys desmarestianus,75.8,1.88,99.15,2,,,-66,38,,,,
Hipposideros diadema,37.2,1.57,32.84,1.52,,,145.8,94,,,,
Hipposideros galeritus,8.5,0.93,9.45,0.98,,,114.43,23,,,,
Hipposideros maggietaylorae,18.2,1.26,20.9,1.32,,,145.81,94,,,,
Histiotus velatus,11.2,1.05,9.95,1,,,-49.22,480,,,,
Hydrochoerus hydrochaeris,26400,4.42,6589.55,3.82,,,-66.08,217,,,,
Hydromys chryogaster,900,2.95,528.3,2.72,,,144.97,58,,,,
Hystrix africaeaustralis,10700,4.03,2030.85,3.31,,,22.11,1074,,,,
Isoodon obesulus,1020,3.01,221.89,2.35,,,115.85,26,,,,
Isthmomys pirrensis,137.9,2.14,121.35,2.08,,,-79.9,21,,,,
Jaculus jaculus,75,1.88,92.25,1.96,,,-6.5,1461,,,,
Jaculus orientalis,139,2.14,139,2.14,,,-1.2,873,,,,
Kerodon rupestris,801,2.9,360.45,2.56,,,-43.02,154,,,,
Kobus ellipsiprymnus,100000,5,26673.63,4.43,,,29.58,1035,,,,
Lagorchestes conspicillatus,2660,3.42,850.25,2.93,,,116.21,17,,,,
Lagurus curtatus,30.3,1.48,50.3,1.7,,,-118.95,1270,,,,
Lasiorhinus latifrons,25000,4.4,2497.51,3.4,,,22.56,884,,,,
Lasiurus cinereus,27.5,1.44,16.42,1.22,,,-106.62,1609,,,,
